country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Albania,2002,male,5-14 years,1,319473,,"4,435,078,648"
Albania,2003,female,75+ years,6,49088,,"5,746,945,913"
Albania,2003,male,55-74 years,16,201520,,"5,746,945,913"
Albania,2003,male,35-54 years,28,386196,,"5,746,945,913"
Albania,2003,male,15-24 years,15,273235,,"5,746,945,913"
Albania,2003,female,15-24 years,14,283709,,"5,746,945,913"
Albania,2003,female,55-74 years,9,195699,,"5,746,945,913"
Albania,2003,male,25-34 years,9,205433,,"5,746,945,913"
Albania,2003,female,25-34 years,9,222941,,"5,746,945,913"
Albania,2003,female,35-54 years,13,381760,,"5,746,945,913"
Albania,2003,male,75+ years,1,32667,,"5,746,945,913"
Albania,2003,male,5-14 years,4,313204,,"5,746,945,913"
Albania,2003,female,5-14 years,,298477,,"5,746,945,913"
Albania,2004,male,75+ years,4,35526,,"7,314,865,176"
Albania,2004,male,35-54 years,39,391767,,"7,314,865,176"
Albania,2004,male,25-34 years,16,203938,,"7,314,865,176"
Albania,2004,female,15-24 years,2,292268,,"7,314,865,176"
Albania,2004,male,15-24 years,19,286768,,"7,314,865,176"
Albania,2004,female,75+ years,3,50970,,"7,314,865,176"
Albania,2004,female,25-34 years,11,222389,,"7,314,865,176"
Albania,2004,male,55-74 years,1,207202,,"7,314,865,176"
Albania,2004,female,35-54 years,17,391436,,"7,314,865,176"
Albania,2004,female,55-74 years,3,203841,,"7,314,865,176"
Albania,2004,female,5-14 years,3,286705,,"7,314,865,176"
Albania,2004,male,5-14 years,1,302181,,"7,314,865,176"
Albania,2005,female,15-24 years,,281922,0.695,"8,158,548,717"
Albania,2005,female,25-34 years,,190745,0.695,"8,158,548,717"
Albania,2005,female,35-54 years,,386513,0.695,"8,158,548,717"
Albania,2005,female,5-14 years,,276559,0.695,"8,158,548,717"
Albania,2005,female,55-74 years,,210998,0.695,"8,158,548,717"
Albania,2005,female,75+ years,,53191,0.695,"8,158,548,717"
Albania,2005,male,15-24 years,,281675,0.695,"8,158,548,717"
Albania,2005,male,25-34 years,,177519,0.695,"8,158,548,717"
Albania,2005,male,35-54 years,,380242,0.695,"8,158,548,717"
Albania,2005,male,5-14 years,,291367,0.695,"8,158,548,717"
Albania,2005,male,55-74 years,,214118,0.695,"8,158,548,717"
Albania,2005,male,75+ years,,38471,0.695,"8,158,548,717"
Albania,2006,female,15-24 years,,283138,,"8,992,642,349"
Albania,2006,female,25-34 years,,186391,,"8,992,642,349"
Albania,2006,female,35-54 years,,388746,,"8,992,642,349"
Albania,2006,female,5-14 years,,267316,,"8,992,642,349"
Albania,2006,female,55-74 years,,215907,,"8,992,642,349"
Albania,2006,female,75+ years,,56011,,"8,992,642,349"
Albania,2006,male,15-24 years,,286679,,"8,992,642,349"
Albania,2006,male,25-34 years,,174092,,"8,992,642,349"
Albania,2006,male,35-54 years,,379076,,"8,992,642,349"
Albania,2006,male,5-14 years,,282678,,"8,992,642,349"
Albania,2006,male,55-74 years,,219360,,"8,992,642,349"
Albania,2006,male,75+ years,,40782,,"8,992,642,349"
Albania,2007,male,75+ years,8,42366,,"10,701,011,897"
Albania,2007,male,35-54 years,29,378626,,"10,701,011,897"
Albania,2007,male,55-74 years,14,224160,,"10,701,011,897"
Albania,2007,female,75+ years,3,57404,,"10,701,011,897"
Albania,2007,male,25-34 years,9,172494,,"10,701,011,897"
Albania,2007,female,15-24 years,13,281080,,"10,701,011,897"
Albania,2007,male,15-24 years,13,288349,,"10,701,011,897"
Albania,2007,female,25-34 years,8,183629,,"10,701,011,897"
Albania,2007,female,55-74 years,9,221120,,"10,701,011,897"
Albania,2007,female,35-54 years,14,391811,,"10,701,011,897"
Albania,2007,male,5-14 years,4,272497,,"10,701,011,897"
Albania,2007,female,5-14 years,,256808,,"10,701,011,897"
Albania,2008,male,25-34 years,21,172855,,"12,881,352,688"
Albania,2008,male,35-54 years,37,377119,,"12,881,352,688"
Albania,2008,male,55-74 years,21,228672,,"12,881,352,688"
Albania,2008,female,75+ years,5,59369,,"12,881,352,688"
Albania,2008,female,15-24 years,2,276073,,"12,881,352,688"
Albania,2008,female,25-34 years,9,182663,,"12,881,352,688"
Albania,2008,female,35-54 years,19,393832,,"12,881,352,688"
Albania,2008,male,75+ years,2,44574,,"12,881,352,688"
Albania,2008,male,15-24 years,11,286702,,"12,881,352,688"
Albania,2008,female,55-74 years,7,226448,,"12,881,352,688"
Albania,2008,male,5-14 years,7,262464,,"12,881,352,688"
Albania,2008,female,5-14 years,1,246288,,"12,881,352,688"
Albania,2009,female,15-24 years,,270003,,"12,044,212,904"
Albania,2009,female,25-34 years,,182712,,"12,044,212,904"
Albania,2009,female,35-54 years,,394286,,"12,044,212,904"
Albania,2009,female,5-14 years,,236174,,"12,044,212,904"
Albania,2009,female,55-74 years,,233302,,"12,044,212,904"
Albania,2009,female,75+ years,,61582,,"12,044,212,904"
Albania,2009,male,15-24 years,,283448,,"12,044,212,904"
Albania,2009,male,25-34 years,,174955,,"12,044,212,904"
Albania,2009,male,35-54 years,,374365,,"12,044,212,904"
Albania,2009,male,5-14 years,,253007,,"12,044,212,904"
Albania,2009,male,55-74 years,,234570,,"12,044,212,904"
Albania,2009,male,75+ years,,47331,,"12,044,212,904"
Albania,2010,male,55-74 years,2,241852,0.722,"11,926,953,259"
Albania,2010,male,35-54 years,2,371611,0.722,"11,926,953,259"
Albania,2010,male,25-34 years,9,179720,0.722,"11,926,953,259"
Albania,2010,male,75+ years,2,50767,0.722,"11,926,953,259"
Albania,2010,male,15-24 years,1,279508,0.722,"11,926,953,259"
Albania,2010,female,25-34 years,6,183579,0.722,"11,926,953,259"
Albania,2010,female,75+ years,2,64415,0.722,"11,926,953,259"
Albania,2010,female,35-54 years,12,394593,0.722,"11,926,953,259"
Albania,2010,female,55-74 years,7,241491,0.722,"11,926,953,259"
Albania,2010,female,15-24 years,6,263581,0.722,"11,926,953,259"
Albania,2010,female,5-14 years,2,223969,0.722,"11,926,953,259"
Albania,2010,male,5-14 years,,240939,0.722,"11,926,953,259"
Antigua and Barbuda,1985,female,15-24 years,,7709,,"240,923,926"
Antigua and Barbuda,1985,female,25-34 years,,6344,,"240,923,926"
Antigua and Barbuda,1985,female,35-54 years,,6173,,"240,923,926"
Antigua and Barbuda,1985,female,5-14 years,,7339,,"240,923,926"
Antigua and Barbuda,1985,female,55-74 years,,3778,,"240,923,926"
Antigua and Barbuda,1985,female,75+ years,,949,,"240,923,926"
Antigua and Barbuda,1985,male,15-24 years,,7667,,"240,923,926"
Antigua and Barbuda,1985,male,25-34 years,,6194,,"240,923,926"
Antigua and Barbuda,1985,male,35-54 years,,5970,,"240,923,926"
Antigua and Barbuda,1985,male,5-14 years,,7304,,"240,923,926"
Antigua and Barbuda,1985,male,55-74 years,,2723,,"240,923,926"
Antigua and Barbuda,1985,male,75+ years,,424,,"240,923,926"
Antigua and Barbuda,1986,female,15-24 years,,7668,,"290,440,148"
Antigua and Barbuda,1986,female,25-34 years,,6209,,"290,440,148"
Antigua and Barbuda,1986,female,35-54 years,,6101,,"290,440,148"
Antigua and Barbuda,1986,female,5-14 years,,6907,,"290,440,148"
Antigua and Barbuda,1986,female,55-74 years,,3764,,"290,440,148"
Antigua and Barbuda,1986,female,75+ years,,1014,,"290,440,148"
Antigua and Barbuda,1986,male,15-24 years,,7563,,"290,440,148"
Antigua and Barbuda,1986,male,25-34 years,,6023,,"290,440,148"
Antigua and Barbuda,1986,male,35-54 years,,5947,,"290,440,148"
Antigua and Barbuda,1986,male,5-14 years,,6827,,"290,440,148"
Antigua and Barbuda,1986,male,55-74 years,,2771,,"290,440,148"
Antigua and Barbuda,1986,male,75+ years,,476,,"290,440,148"
Antigua and Barbuda,1987,female,15-24 years,,7583,,"337,174,852"
Antigua and Barbuda,1987,female,25-34 years,,6101,,"337,174,852"
Antigua and Barbuda,1987,female,35-54 years,,6059,,"337,174,852"
Antigua and Barbuda,1987,female,5-14 years,,6623,,"337,174,852"
Antigua and Barbuda,1987,female,55-74 years,,3738,,"337,174,852"
Antigua and Barbuda,1987,female,75+ years,,1081,,"337,174,852"
Antigua and Barbuda,1987,male,15-24 years,,7421,,"337,174,852"
Antigua and Barbuda,1987,male,25-34 years,,5893,,"337,174,852"
Antigua and Barbuda,1987,male,35-54 years,,5927,,"337,174,852"
Antigua and Barbuda,1987,male,5-14 years,,6499,,"337,174,852"
Antigua and Barbuda,1987,male,55-74 years,,2798,,"337,174,852"
Antigua and Barbuda,1987,male,75+ years,,538,,"337,174,852"
Antigua and Barbuda,1988,female,15-24 years,,7413,,"398,637,741"
Antigua and Barbuda,1988,female,25-34 years,,6041,,"398,637,741"
Antigua and Barbuda,1988,female,35-54 years,,6021,,"398,637,741"
Antigua and Barbuda,1988,female,5-14 years,,6527,,"398,637,741"
Antigua and Barbuda,1988,female,55-74 years,,3708,,"398,637,741"
Antigua and Barbuda,1988,female,75+ years,,1141,,"398,637,741"
Antigua and Barbuda,1988,male,15-24 years,,7209,,"398,637,741"
Antigua and Barbuda,1988,male,25-34 years,,5826,,"398,637,741"
Antigua and Barbuda,1988,male,35-54 years,,5907,,"398,637,741"
Antigua and Barbuda,1988,male,5-14 years,,6355,,"398,637,741"
Antigua and Barbuda,1988,male,55-74 years,,2813,,"398,637,741"
Antigua and Barbuda,1988,male,75+ years,,603,,"398,637,741"
Antigua and Barbuda,1989,female,15-24 years,,7152,,"438,794,778"
Antigua and Barbuda,1989,female,25-34 years,,6059,,"438,794,778"
Antigua and Barbuda,1989,female,35-54 years,,5969,,"438,794,778"
Antigua and Barbuda,1989,female,5-14 years,,6621,,"438,794,778"
Antigua and Barbuda,1989,female,55-74 years,,3696,,"438,794,778"
Antigua and Barbuda,1989,female,75+ years,,1195,,"438,794,778"
Antigua and Barbuda,1989,male,15-24 years,,6927,,"438,794,778"
Antigua and Barbuda,1989,male,25-34 years,,5835,,"438,794,778"
Antigua and Barbuda,1989,male,35-54 years,,5862,,"438,794,778"
Antigua and Barbuda,1989,male,5-14 years,,6403,,"438,794,778"
Antigua and Barbuda,1989,male,55-74 years,,2843,,"438,794,778"
Antigua and Barbuda,1989,male,75+ years,,676,,"438,794,778"
Antigua and Barbuda,1990,male,35-54 years,1,5799,,"459,469,074"
Antigua and Barbuda,1990,female,15-24 years,,6827,,"459,469,074"
Antigua and Barbuda,1990,female,25-34 years,,6172,,"459,469,074"
Antigua and Barbuda,1990,female,35-54 years,,5895,,"459,469,074"
Antigua and Barbuda,1990,female,5-14 years,,6877,,"459,469,074"
Antigua and Barbuda,1990,female,55-74 years,,3706,,"459,469,074"
Antigua and Barbuda,1990,female,75+ years,,1252,,"459,469,074"
Antigua and Barbuda,1990,male,15-24 years,,6598,,"459,469,074"
Antigua and Barbuda,1990,male,25-34 years,,5937,,"459,469,074"
Antigua and Barbuda,1990,male,5-14 years,,6611,,"459,469,074"
Antigua and Barbuda,1990,male,55-74 years,,2902,,"459,469,074"
Antigua and Barbuda,1990,male,75+ years,,758,,"459,469,074"
Antigua and Barbuda,1991,female,15-24 years,,6595,,"481,706,333"
Antigua and Barbuda,1991,female,25-34 years,,6396,,"481,706,333"
Antigua and Barbuda,1991,female,35-54 years,,6198,,"481,706,333"
Antigua and Barbuda,1991,female,5-14 years,,7089,,"481,706,333"
Antigua and Barbuda,1991,female,55-74 years,,3665,,"481,706,333"
Antigua and Barbuda,1991,female,75+ years,,1293,,"481,706,333"
Antigua and Barbuda,1991,male,15-24 years,,6401,,"481,706,333"
Antigua and Barbuda,1991,male,25-34 years,,6156,,"481,706,333"
Antigua and Barbuda,1991,male,35-54 years,,6122,,"481,706,333"
Antigua and Barbuda,1991,male,5-14 years,,6818,,"481,706,333"
Antigua and Barbuda,1991,male,55-74 years,,2857,,"481,706,333"
Antigua and Barbuda,1991,male,75+ years,,804,,"481,706,333"
Antigua and Barbuda,1992,female,15-24 years,,6369,,"499,281,148"
Antigua and Barbuda,1992,female,25-34 years,,6650,,"499,281,148"
Antigua and Barbuda,1992,female,35-54 years,,6534,,"499,281,148"
Antigua and Barbuda,1992,female,5-14 years,,7311,,"499,281,148"
Antigua and Barbuda,1992,female,55-74 years,,3648,,"499,281,148"
Antigua and Barbuda,1992,female,75+ years,,1339,,"499,281,148"
Antigua and Barbuda,1992,male,15-24 years,,6221,,"499,281,148"
Antigua and Barbuda,1992,male,25-34 years,,6409,,"499,281,148"
Antigua and Barbuda,1992,male,35-54 years,,6497,,"499,281,148"
Antigua and Barbuda,1992,male,5-14 years,,7059,,"499,281,148"
Antigua and Barbuda,1992,male,55-74 years,,2851,,"499,281,148"
Antigua and Barbuda,1992,male,75+ years,,853,,"499,281,148"
Antigua and Barbuda,1993,male,25-34 years,1,6668,,"535,172,778"
Antigua and Barbuda,1993,female,15-24 years,,6182,,"535,172,778"
Antigua and Barbuda,1993,female,25-34 years,,6914,,"535,172,778"
Antigua and Barbuda,1993,female,35-54 years,,6917,,"535,172,778"
Antigua and Barbuda,1993,female,5-14 years,,7529,,"535,172,778"
Antigua and Barbuda,1993,female,55-74 years,,3662,,"535,172,778"
Antigua and Barbuda,1993,female,75+ years,,1386,,"535,172,778"
Antigua and Barbuda,1993,male,15-24 years,,6069,,"535,172,778"
Antigua and Barbuda,1993,male,35-54 years,,6915,,"535,172,778"
Antigua and Barbuda,1993,male,5-14 years,,7298,,"535,172,778"
Antigua and Barbuda,1993,male,55-74 years,,2879,,"535,172,778"
Antigua and Barbuda,1993,male,75+ years,,896,,"535,172,778"
Antigua and Barbuda,1994,female,15-24 years,,6083,,"589,429,593"
Antigua and Barbuda,1994,female,25-34 years,,7151,,"589,429,593"
Antigua and Barbuda,1994,female,35-54 years,,7357,,"589,429,593"
Antigua and Barbuda,1994,female,5-14 years,,7722,,"589,429,593"
Antigua and Barbuda,1994,female,55-74 years,,3715,,"589,429,593"
Antigua and Barbuda,1994,female,75+ years,,1437,,"589,429,593"
Antigua and Barbuda,1994,male,15-24 years,Null,5976,,"589,429,593"
Antigua and Barbuda,1994,male,25-34 years,,6886,,"589,429,593"
Antigua and Barbuda,1994,male,35-54 years,,7359,,"589,429,593"
Antigua and Barbuda,1994,male,5-14 years,,7494,,"589,429,593"
Antigua and Barbuda,1994,male,55-74 years,,2935,,"589,429,593"
Antigua and Barbuda,1994,male,75+ years,,929,,"589,429,593"
Antigua and Barbuda,1995,female,15-24 years,,6099,,"577,280,741"
Antigua and Barbuda,1995,female,25-34 years,,7333,,"577,280,741"
Antigua and Barbuda,1995,female,35-54 years,,7851,,"577,280,741"
Antigua and Barbuda,1995,female,5-14 years,,7885,,"577,280,741"
Antigua and Barbuda,1995,female,55-74 years,Null,3808,,"577,280,741"
Antigua and Barbuda,1995,female,75+ years,,1488,,"577,280,741"
Antigua and Barbuda,1995,male,15-24 years,,5953,,"577,280,741"
Antigua and Barbuda,1995,male,25-34 years,,7023,,"577,280,741"
Antigua and Barbuda,1995,male,35-54 years,,7809,,"577,280,741"
Antigua and Barbuda,1995,male,5-14 years,,7632,,"577,280,741"
Antigua and Barbuda,1995,male,55-74 years,,3021,,"577,280,741"
Antigua and Barbuda,1995,male,75+ years,,944,,"577,280,741"
Antigua and Barbuda,1998,female,15-24 years,,6529,,"727,860,593"
Antigua and Barbuda,1998,female,25-34 years,,8332,,"727,860,593"
Antigua and Barbuda,1998,female,35-54 years,,9615,,"727,860,593"
Antigua and Barbuda,1998,female,5-14 years,,8183,,"727,860,593"
Antigua and Barbuda,1998,female,55-74 years,,3921,,"727,860,593"
Antigua and Barbuda,1998,female,75+ years,Null,1476,,"727,860,593"
Antigua and Barbuda,1998,male,15-24 years,,5916,,"727,860,593"
Antigua and Barbuda,1998,male,25-34 years,,7294,,"727,860,593"
Antigua and Barbuda,1998,male,35-54 years,,9086,,"727,860,593"
Antigua and Barbuda,1998,male,5-14 years,,7706,,"727,860,593"
Antigua and Barbuda,1998,male,55-74 years,,3213,,"727,860,593"
Antigua and Barbuda,1998,male,75+ years,,954,,"727,860,593"
Antigua and Barbuda,1999,female,15-24 years,,6589,,"766,198,926"
Antigua and Barbuda,1999,female,25-34 years,,8526,,"766,198,926"
Antigua and Barbuda,1999,female,35-54 years,,10311,,"766,198,926"
Antigua and Barbuda,1999,female,5-14 years,,8314,,"766,198,926"
Antigua and Barbuda,1999,female,55-74 years,,3968,,"766,198,926"
Antigua and Barbuda,1999,female,75+ years,,1451,,"766,198,926"
Antigua and Barbuda,1999,male,15-24 years,,5845,,"766,198,926"
Antigua and Barbuda,1999,male,25-34 years,,7263,,"766,198,926"
Antigua and Barbuda,1999,male,35-54 years,,9537,,"766,198,926"
Antigua and Barbuda,1999,male,5-14 years,,7805,,"766,198,926"
Antigua and Barbuda,1999,male,55-74 years,,3276,,"766,198,926"
Antigua and Barbuda,1999,male,75+ years,,947,,"766,198,926"
Antigua and Barbuda,2000,male,55-74 years,1,3333,,"830,158,778"
Antigua and Barbuda,2000,male,35-54 years,1,10033,,"830,158,778"
Antigua and Barbuda,2000,female,15-24 years,,6616,,"830,158,778"
Antigua and Barbuda,2000,female,25-34 years,,8595,,"830,158,778"
Antigua and Barbuda,2000,female,35-54 years,,11040,,"830,158,778"
Antigua and Barbuda,2000,female,5-14 years,,8439,,"830,158,778"
Antigua and Barbuda,2000,female,55-74 years,,3986,,"830,158,778"
Antigua and Barbuda,2000,female,75+ years,,1413,,"830,158,778"
